name,review_count,categories,latitude,longitude,rating,price,neighbourhood,city,address
Wendy's,54,"Fast Food,Burgers",40.4571266518283,-79.9377973675255,2.0,$$,Shadyside,Pittsburgh,"5422 Baum Blvd.,Pittsburgh, PA 15232"
Wise County Biscuits,13,"Food Stands,Breakfast & Brunch,Sandwiches",40.4385108947754,-79.9973373413086,5.0,$,Shadyside,Pittsburgh,"Pittsburgh, PA"
Archie's,59,"Chicken Wings,Beer Bar",40.42798,-79.97174,3.5,$,Shadyside,Pittsburgh,"2328 E Carson St,Pittsburgh, PA 15203"
Quiznos,26,"Sandwiches,Delis",40.44541569093,-79.948926100871,3.5,$,Shadyside,Pittsburgh,"300 S Craig St,Pittsburgh, PA 15213"
Chipotle Mexican Grill,79,"Mexican,Fast Food",40.4411419144853,-79.9580400469416,3.0,$,Shadyside,Pittsburgh,"3615 Forbes Ave,Pittsburgh, PA 15213"
Mullaneys Harp and Fiddle,61,"Irish,Pubs",40.45347,-79.981,3.5,$$,Shadyside,Pittsburgh,"2329 Penn Ave,Pittsburgh, PA 15222"
Grant Bar,46,"American (Traditional),Beer Bar",40.4783199,-79.9697,4.0,$$,Shadyside,Pittsburgh,"114 Grant Ave,Pittsburgh, PA 15209"
The Pub in the Park,23,"Irish Pub,Sports Bars,American (Traditional)",40.421377,-79.897558,4.5,$,Shadyside,Swissvale,"7034 Blackhawk St,Swissvale, PA 15218"
Redfin Blues,181,"Seafood,Bars,Pizza",40.46398,-79.97725,3.0,$$,Shadyside,Pittsburgh,"100 Waterfront Dr,Pittsburgh, PA 15222"
Sushi Fuku,34,"Sushi Bars,Japanese,Poke",40.44473,-79.94856,3.0,$,Shadyside,Pittsburgh,"417 S Craig St,Pittsburgh, PA 15213"
P Town,14,"Dance Clubs,Gay Bars",40.4538,-79.9488,4.0,$,Shadyside,Pittsburgh,"4740 Baum Blvd,Pittsburgh, PA 15213"
El Burro,83,"Vegan,Tacos",40.4325712790865,-79.8936523497105,3.5,$,Shadyside,Pittsburgh,"1113 S Braddock Ave,Pittsburgh, PA 15218"
Gene's Place,31,Dive Bars,40.4394226074219,-79.9560928344727,4.0,$,Shadyside,Pittsburgh,"3616 Louisa St,Pittsburgh, PA 15213"
Over Eden,61,"Cocktail Bars,Desserts,Mediterranean",40.46947,-79.96276,3.5,$,Shadyside,Pittsburgh,"177 40th St,Pittsburgh, PA 15201"
Soul Food Connection,15,Soul Food,40.4426088,-79.8855258,4.5,$,Shadyside,Pittsburgh,"819 Wood St,Pittsburgh, PA 15221"
Millvale Diner,67,"Diners,Breakfast & Brunch,American (Traditional)",40.4820495757241,-79.9742754325028,3.5,$,Shadyside,Pittsburgh,"301 N Ave,Pittsburgh, PA 15209"
